prompt;permission
"""I need to manage all aspects of Power Apps.""";microsoft.powerApps/allEntities/allTasks
"""I need to read and configure key sets in Azure Active Directory B2C.""";microsoft.directory/b2cTrustFrameworkKeySet/allProperties/allTasks
"""I need to read aspects of Microsoft Graph Data Connect.""";microsoft.graph.dataConnect/allEntities/allProperties/read
"""I need to delete application policies.""";microsoft.directory/applicationPolicies/delete
"""I need to read provisioning settings associated with the application object.""";microsoft.directory/applications/synchronization/standard/read
"""I need to update tags of applications.""";microsoft.directory/applications/tag/update
"""I need to create IoT Device from Internet of Things (IoT) device templates.""";microsoft.directory/deviceTemplates/createDeviceFromTemplate
"""I need to update basic policies for users.""";microsoft.directory/userCredentialPolicies/basic/update
"""I need to manage all aspects of Desktop Analytics.""";microsoft.office365.desktopAnalytics/allEntities/allTasks
"""I need to read all data in the Call Quality Dashboard (CQD).""";microsoft.teams/callQuality/allProperties/read
"""I need to read reports of attack simulation, responses, and associated training.""";microsoft.office365.protectionCenter/attackSimulator/reports/allProperties/read
"""I need to read and update all properties for an organization.""";microsoft.directory/organization/allProperties/allTasks
"""I need to manage all aspects of Office 365 billing.""";microsoft.commerce.billing/allEntities/allProperties/allTasks
"""I need to read basic properties on OAuth 2.0 permission grants.""";microsoft.directory/oAuth2PermissionGrants/standard/read
"""I need to delete Security groups, excluding role-assignable groups.""";microsoft.directory/groups.security/delete
"""I need to delete a tenant participating in a multi-tenant organization.""";microsoft.directory/multiTenantOrganization/tenants/delete
"""I need to read and configure restore session for Exchange Online in Microsoft 365 Backup.""";microsoft.backup/exchangeRestoreSessions/allProperties/allTasks
"""I need to update credentials of service principals.""";microsoft.directory/servicePrincipals/credentials/update
"""I need to create and delete all resources, and read and update standard properties in SharePoint.""";microsoft.office365.sharePoint/allEntities/allTasks
"""I need to manage all aspects of Microsoft Entra Permissions Management.""";microsoft.permissionsManagement/allEntities/allProperties/allTasks
"""I need to create and delete Microsoft Entra role templates, and read and update all properties.""";microsoft.directory/directoryRoleTemplates/allProperties/allTasks
"""I need to update basic settings of cross-tenant access policy.""";microsoft.directory/crossTenantAccessPolicy/basic/update
"""I need to update crendential related properties on certificate authority configurations for Internet of Things (IoT) device trust and authentication.""";microsoft.directory/certificateBasedDeviceAuthConfigurations/credentials/update
"""I need to read standard properties of traffic logs such as DeviceId, DestinationIp and PolicyRuleId.""";microsoft.networkAccess/trafficLogs/standard/read
"""I need to update owners of service principals.""";microsoft.directory/servicePrincipals/owners/update
"""I need to perform the ``activate service`` action for a service.""";microsoft.directory/serviceAction/activateService
"""I need to create policies in Microsoft Entra ID.""";microsoft.directory/policies/create
"""I need to update Conditional Access authentication context of Microsoft 365 role-based access control (RBAC) resource actions.""";microsoft.directory/resourceNamespaces/resourceActions/authenticationContext/update
"""I need to permanently delete groups, which can no longer be restored.""";microsoft.directory/deletedItems.groups/delete
"""I need to delete Conditional Access policies.""";microsoft.directory/conditionalAccessPolicies/delete
"""I need to read all properties of admin consent request policies in Microsoft Entra ID.""";microsoft.directory/adminConsentRequestPolicy/allProperties/read
"""I need to read basic properties on subscriptions.""";microsoft.directory/subscribedSkus/standard/read
"""I need to manage learning sources and all their properties in Learning App.""";microsoft.office365.knowledge/learningSources/allProperties/allTasks
"""I need to create cross-tenant sync policy for partners.""";microsoft.directory/crossTenantAccessPolicy/partners/identitySynchronization/create
"""I need to create and delete all resources, and read and update standard properties in Privileged Identity Management.""";microsoft.directory/privilegedIdentityManagement/allProperties/allTasks
"""I need to approve or reject new organizational messages for delivery in the Microsoft 365 admin center.""";microsoft.office365.organizationalMessages/allEntities/allProperties/update
"""I need to read all properties of access reviews for membership in Security and Microsoft 365 groups, including role-assignable groups.""";microsoft.directory/accessReviews/definitions.groups/allProperties/read
"""I need to restore deleted users.""";microsoft.directory/users/restore
"""I need to update tenant restrictions of cross-tenant access policy for partners.""";microsoft.directory/crossTenantAccessPolicy/partners/tenantRestrictions/update
"""I need to read all properties on audit logs, excluding custom security attributes audit logs.""";microsoft.directory/auditLogs/allProperties/read
"""I need to read entities and permissions of SharePoint Embedded containers.""";microsoft.office365.fileStorageContainers/allEntities/allProperties/read
"""I need to read and configure Azure DevOps.""";microsoft.azure.devOps/allEntities/allTasks
"""I need to update basic properties of custom rules that define network locations.""";microsoft.directory/namedLocations/basic/update
"""I need to delete custom rules that define network locations.""";microsoft.directory/namedLocations/delete
